transaction_id,user_id,merchant_name,transaction_date,amount,currency,status,payment_method,region,risk_score,amount_usd,merchant_id,category,contract_value,high_value_flag,high_risk_flag
TXN00001,U0131,Amazon Payments,2024-06-12,1507.8,INR,failed,credit_card,APAC,48.0,18.09,M002,E-commerce,800000,0,0
TXN00002,U0137,Razorpay,2024-01-29,9130.36,CAD,captured,bnpl,APAC,15.0,6756.47,M005,Payments,350000,1,0
TXN00003,U0126,Stripe Ltd,2024-01-07,4050.24,JPY,refunded,upi,APAC,17.0,27.14,M003,Payments,600000,0,0
TXN00004,U0182,Stripe Ltd,2024-03-11,2838.83,EUR,chargeback,upi,,57.0,3065.94,M003,Payments,600000,0,1
TXN00005,U0145,Stripe Ltd,2024-03-03,608.87,INR,captured,upi,APAC,41.0,7.31,M003,Payments,600000,0,0
TXN00006,U0077,PayU India,2024-02-27,608.79,CAD,captured,bank_transfer,APAC,82.0,450.5,M004,Payments,300000,0,1
TXN00007,U0122,Adyen NV,2024-02-05,279.52,EUR,refunded,credit_card,APAC,33.0,301.88,M007,Payments,550000,0,0
TXN00008,U0005,Shopify Inc,2024-01-27,6133.69,USD,failed,bank_transfer,US,20.0,6133.69,M001,E-commerce,500000,0,0
TXN00009,U0095,Razorpay,2024-06-22,2857.25,AUD,chargeback,debit_card,US,58.0,1857.21,M005,Payments,350000,0,1
TXN00010,U0085,PayU India,2024-05-19,3793.75,AUD,captured,debit_card,US,40.0,2465.94,M004,Payments,300000,0,0
TXN00011,U0173,Shopify Inc,2024-01-23,162.4,GBP,chargeback,upi,US,84.0,206.25,M001,E-commerce,500000,0,1
TXN00012,U0029,Square Inc,2024-05-31,10610.67,JPY,refunded,upi,US,69.0,71.09,M006,POS,400000,0,0
TXN00013,U0107,Klarna AB,2024-04-18,5459.29,JPY,captured,upi,US,68.0,36.58,M008,BNPL,450000,0,0
TXN00014,U0150,Stripe Ltd,2024-01-09,816.06,AUD,refunded,credit_card,APAC,11.0,530.44,M003,Payments,600000,0,0
TXN00015,U0079,Shopify Inc,2024-01-08,702.04,GBP,chargeback,credit_card,APAC,69.0,891.59,M001,E-commerce,500000,0,1
TXN00016,U0186,Stripe Ltd,2024-01-24,707.83,CAD,failed,upi,APAC,96.0,523.79,M003,Payments,600000,0,1
TXN00017,U0177,Razorpay,2024-02-25,1188.26,EUR,pending,credit_card,US,19.0,1283.32,M005,Payments,350000,0,0
TXN00018,U0162,Klarna AB,2024-02-29,2331.78,USD,captured,wallet,APAC,54.0,2331.78,M008,BNPL,450000,0,0
TXN00019,U0007,Adyen NV,2024-05-09,1796.61,EUR,pending,upi,EU,48.0,1940.34,M007,Payments,550000,0,0
TXN00020,U0153,Adyen NV,2024-06-03,1132.67,USD,captured,wallet,US,64.0,1132.67,M007,Payments,550000,0,0
TXN00022,U0068,Shopify Inc,2024-05-23,550.7,INR,pending,wallet,APAC,35.0,6.61,M001,E-commerce,500000,0,0
